Garrett Jones,1.0,0.251,49.0,0.004081632713882291,55.0,0.003636363690549677,14.0,0.014285714498588018,4.0,0.05000000074505806,0.0,0.0
Joey Votto,38.1,0.313,94.0,0.08106382856977747,112.0,0.06803571326392037,25.0,0.3047999954223633,5.0,1.5239999771118165,6.9,1.1043478095013162
Gaby Sanchez,1.0,0.254,43.0,0.004651162860005401,47.0,0.004255319212345367,9.0,0.022222222553359136,2.0,0.10000000149011612,1.0,0.20000000298023224
Paul Goldschmidt,48.1,0.292,101.0,0.09524752361939685,114.0,0.084385963908413,34.0,0.28294117310467887,14.0,0.6871428489685059,5.4,1.7814814602887188
Justin Smoak,1.0,0.242,56.0,0.0035714286246470044,60.0,0.0033333333830038708,18.0,0.011111111276679568,0.0,0.0,1.1,0.18181818452748383
Nick Swisher,1.2,0.263,75.0,0.0032000001271565754,84.0,0.002857142970675514,21.0,0.011428571882702056,2.0,0.12000000476837158,3.4,0.0705882380990421
Chris Carter,1.2,0.234,86.0,0.002790697785310967,96.0,0.0025000000993410745,32.0,0.007500000298023224,3.0,0.08000000317891438,2.0,0.12000000476837158
Freddie Freeman,29.9,0.301,91.0,0.06571428592388447,99.0,0.06040404059670188,25.0,0.23920000076293946,4.0,1.4950000047683716,4.6,1.3000000041464101
Corey Hart,1.1,0.267,67.0,0.0032835820717598075,74.0,0.0029729729568636096,21.0,0.010476190419424148,3.0,0.07333333293596904,1.9,0.11578947305679321
James Loney,1.3,0.282,56.0,0.004642856972558158,62.0,0.004193548233278336,12.0,0.02166666587193807,3.0,0.08666666348775227,1.8,0.1444444391462538
Josh Satin,1.0,0.272,28.0,0.007142857249294009,31.0,0.0064516129993623305,4.0,0.05000000074505806,1.0,0.20000000298023224,1.3,0.15384615613864017
Prince Fielder,38.9,0.289,97.0,0.08020618772998299,113.0,0.06884955937883495,33.0,0.23575758211540454,1.0,7.78000020980835,4.0,1.9450000524520874
Mike Carp,1.0,0.273,43.0,0.004651162860005401,47.0,0.004255319212345367,10.0,0.020000000298023225,3.0,0.06666666766007741,1.0,0.20000000298023224
Anthony Rizzo,11.6,0.27,94.0,0.02468085289001465,98.0,0.023673471139401804,28.0,0.08285714898790632,5.0,0.4640000343322754,3.9,0.5948718388875326
Joey Terdoslavich,1.0,0.257,22.0,0.009090909226374193,24.0,0.008333333457509676,5.0,0.04000000059604645,2.0,0.10000000149011612,0.2,1.0000000149011612
Tyler Moore,1.0,0.254,31.0,0.0064516129993623305,32.0,0.0062500000931322575,9.0,0.022222222553359136,1.0,0.20000000298023224,0.2,1.0000000149011612
Adrian Gonzalez,17.7,0.293,78.0,0.045384617952200085,86.0,0.04116279302641403,21.0,0.16857143810817174,2.0,1.7700001001358032,3.5,1.0114286286490304
Logan Morrison,1.0,0.254,53.0,0.0037735849618911743,57.0,0.0035087719821093374,14.0,0.014285714498588018,2.0,0.10000000149011612,0.7,0.28571428997176035
Justin Morneau,1.2,0.266,61.0,0.003934426385848249,67.0,0.003582089694578256,18.0,0.013333333863152398,0.0,0.0,0.2,1.2000000476837158
Chris Davis,42.4,0.272,105.0,0.08076190948486328,119.0,0.07126050836899701,41.0,0.2068292803880645,5.0,1.696000099182129,4.2,2.019047737121582
Mark Teixeira,3.2,0.254,75.0,0.00853333314259847,85.0,0.007529411596410415,26.0,0.024615384065187894,2.0,0.3199999928474426,2.9,0.22068965023961562
